32,2992,43,-350,371,-26,-942,767,72,84,125,1
32,2931,26,-332,372,-27,-942,738,83,90,134,-1
32,2913,26,-350,370,-25,-953,752,82,99,137,6
32,3071,0,-306,371,-26,-949,764,84,93,141,0
3232,3141,105,-297,372,-27,-947,727,88,87,128,-1
32,2975,70,-315,370,-26,-949,741,83,88,129,-1
32,3045,61,-323,370,-26,-945,741,88,78,135,6
32,3062,87,-306,370,-26,-942,738,82,83,140,-1
32,3027,61,-315,371,-26,-949,740,79,83,132,4
32,3018,131,-323,371,-26,-950,732,96,79,136,4
32,3045,87,-332,372,-25,-946,760,80,85,122,3
32,3071,122,-288,371,-26,-949,736,87,80,136,6
32,2975,61,-306,371,-25,-944,748,81,82,128,9
32,3018,61,-341,372,-26,-945,748,85,86,135,0
32,3132,61,-323,370,-26,-950,745,79,89,139,2
32,3062,87,-332,370,-25,-950,765,67,98,128,7
32,3053,70,-323,372,-26,-947,744,81,89,132,6
32,3071,78,-315,372,-26,-945,747,76,94,140,2
32,3062,26,-306,373,-25,-947,760,96,88,139,0
32,2992,105,-297,370,-26,-945,754,85,93,140,8
32,2957,61,-341,372,-26,-943,752,73,93,129,2
32,2983,148,-341,370,-26,-951,725,88,81,131,-1
32,3053,105,-341,372,-25,-951,742,83,91,134,0
32,2992,61,-280,370,-26,-950,772,79,91,136,0
32,3036,78,-323,371,-26,-946,742,79,93,138,-1
32,3018,43,-315,370,-26,-950,753,76,89,136,-1
32,3001,87,-350,371,-26,-945,728,91,87,134,-1
32,3045,87,-332,372,-26,-944,743,85,88,134,4
32,3018,61,-288,372,-24,-950,744,93,77,140,6
32,3036,87,-315,372,-25,-948,740,80,93,129,-1
32,3036,105,-323,372,-25,-948,751,79,98,131,-1
32,3018,52,-297,372,-25,-946,720,92,83,139,3
32,3018,96,-315,371,-26,-949,741,78,91,131,2
32,3132,87,-288,370,-26,-944,742,90,83,128,4
32,3036,78,-297,372,-26,-942,735,85,79,131,6
32,2992,113,-315,371,-26,-943,749,81,90,133,-1
32,3071,148,-280,372,-26,-950,737,97,93,130,1
32,3080,210,-288,369,-26,-948,747,79,85,135,0
32,3071,140,-323,372,-25,-950,742,77,88,134,4
32,3062,105,-332,371,-25,-950,727,86,78,140,7
32,3080,113,-323,371,-25,-949,741,84,84,136,4
32,3106,105,-306,373,-25,-945,739,97,85,138,7
32,3150,140,-315,372,-26,-946,742,84,83,133,6
32,3053,70,-288,371,-25,-949,735,90,84,133,4
32,3045,131,-323,372,-25,-944,719,93,70,130,3
32,3088,113,-341,372,-25,-944,750,80,70,124,1
32,3045,105,-323,371,-24,-950,742,90,86,127,3
32,3080,113,-323,371,-25,-950,729,79,90,127,2
32,3053,105,-323,371,-26,-948,742,91,91,132,3
32,3097,96,-280,372,-25,-945,727,102,74,137,8
32,3080,96,-332,372,-25,-950,748,90,77,130,-1
32,3132,140,-323,372,-25,-951,737,94,96,125,2
32,3115,78,-306,372,-26,-941,773,77,95,130,0
32,3071,87,-288,373,-26,-942,737,87,84,133,8
32,3097,96,-306,371,-26,-952,744,74,87,127,-1
32,3088,122,-323,372,-25,-949,747,85,91,137,4
32,3071,131,-323,372,-25,-945,741,89,73,136,3
32,3080,87,-315,370,-25,-949,772,83,81,135,4
32,3045,122,-323,372,-25,-953,748,88,73,137,3
32,3036,105,-297,372,-25,-950,718,97,82,137,5
32,3036,35,-315,372,-25,-945,746,92,84,132,0
32,3036,105,-315,372,-25,-949,736,94,88,138,-1
32,3080,61,-297,371,-25,-951,742,81,88,143,-1
32,3115,122,-288,372,-25,-946,744,83,84,132,-1
32,3132,166,-271,371,-25,-945,722,101,72,138,8
